"项目ID","项目名称","检验项目组套","样本类型","标本容器","推荐管色","添加剂","采样量","采集管图片URL","容器图片URL","是否空腹","空腹时长(h)","患者准备摘要","保存温度","转运时限","特殊处理摘要","拒收标准摘要","常见问题","采集要求原文","来源","需人工确认","备注"
"LAB000006","C-反应蛋白","","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000007","CD20","40","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","table:免疫与自身免疫系统检查","否",""
"LAB000008","C肽","","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000009","D-二聚体","凝血功能 与DIC筛查","血浆","","蓝","枸橼酸钠","","","","否","","","室温","","","溶血/凝血/量不足","","","section:血栓和止血检验","否",""
"LAB000010","EB病毒抗体 (EBV EA IgA)","EB病毒抗体","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000011","EB病毒抗体 (EBV VCA IgA)","EB病毒抗体","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000012","EB病毒抗体 (EBV VCA IgG)","EB病毒抗体","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000013","EB病毒抗体 (EBV VCA IgM)","EB病毒抗体","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000014","EB病毒抗体 (EBV NA IgG)","EB病毒抗体","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000015","EB病毒核酸定量检测","EB病毒核酸检测","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000016","EB病毒核酸定性检测","EB病毒核酸检测","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000017","HBsAg定量","乙肝两对半定量","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000018","HBsAb定量","乙肝两对半定量","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000019","HBeAg定量","乙肝两对半定量","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000020","HBeAb定量","乙肝两对半定量","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000021","HBcAb定量","乙肝两对半定量","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000022","HDL-C","","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000023","HIV抗体筛查","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000024","LDL-C","","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000025","TSH","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000026","α-L-岩藻糖苷酶","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000027","α-羟丁酸脱氢酶","心肌酶谱","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000028","β2-微球蛋白","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000029","γ-谷氨酰转肽酶","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000030","丙氨酸氨基转移酶","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000031","丙型肝炎抗体","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000032","乙型肝炎表面抗原","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000033","乙型肝炎表面抗体","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000034","乙型肝炎e抗原","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000035","乙型肝炎e抗体","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000036","乙型肝炎核心抗体","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000037","乙肝DNA定量","","全血","","紫","EDTA-K2","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000038","乳酸脱氢酶","心肌酶谱","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000039","乳酸脱氢酶同工酶","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000040","人乳头瘤病毒核酸检测","HPV核酸检测","宫颈拭子","病毒核酸采样管","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
"LAB000041","促卵泡生成素","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000042","促甲状腺激素","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000043","促黄体生成素","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000044","免疫球蛋白A","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000045","免疫球蛋白G","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000046","免疫球蛋白M","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000047","凝血酶时间TT","","血浆","","蓝","枸橼酸钠","","","","否","","","室温","","","溶血/凝血/量不足","","","none","否",""
"LAB000048","肌酸激酶","心肌酶谱","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000049","肌酸激酶同工酶","心肌酶谱","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000050","尿素","肾功能","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000051","尿酸","肾功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000052","尿常规","尿常规","尿液","无菌尿杯","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
"LAB000053","尿沉渣","尿沉渣","尿液","尿沉渣管","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
"LAB000054","孕酮","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000055","总胆红素","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000056","总蛋白","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000057","抗链球菌溶血素O(ASO)","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000058","游离三碘甲状腺原氨酸(FT3)","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000059","游离甲状腺素(FT4)","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000060","碱性磷酸酶","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000061","空腹血糖","血糖","血清","","灰","氟化钠","3-5mL","","","是","12-14","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000062","肌酐","肾功能","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000063","葡萄糖","血糖","血清","","灰","氟化钠","3-5mL","","","是","12-14","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000064","血脂全套","血脂","血清","","红","","3-5mL","","","是","12-14","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000065","血糖","血糖","血清","","灰","氟化钠","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000066","血清铁蛋白","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000067","谷丙转氨酶(ALT)","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000068","谷草转氨酶(AST)","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000069","谷草转氨酶(AST)","心肌酶谱","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000070","胆固醇","血脂","血清","","红","","3-5mL","","","是","12-14","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000071","肌红蛋白","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000072","尿微量白蛋白","","尿液","无菌尿杯","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
"LAB000073","尿蛋白","","尿液","无菌尿杯","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
"LAB000074","前白蛋白","","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000075","白蛋白","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000076","甘油三酯","血脂","血清","","红","","3-5mL","","","是","12-14","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000077","直接胆红素","肝功能","血清","","红","","3-5mL","","","是","","空腹；禁食；避免剧烈运动","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000078","碳酸氢盐","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000079","钠","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000080","钾","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000081","氯","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000082","钙","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000083","镁","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000084","磷","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000085","阴离子间隙","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000086","淀粉酶","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000087","脂肪酶","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000088","尿素氮(BUN)","肾功能","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000089","尿胆原","","尿液","无菌尿杯","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
